City,Country,lat,long,city_temps,perc_humidity,perc_cloudiness,wind_speed
Talcahuano,CL,-36.72,-73.12,69.8,49,0,21.92
Araouane,ML,18.9,-3.53,76.12,15,0,9.62
Toropets,RU,56.5,31.64,31.1,98,83,5.37
Vila Velha,BR,-20.33,-40.29,76.1,94,20,5.82
Jamestown,US,42.1,-79.24,34.63,55,20,9.17
Kruisfontein,ZA,-34.0,24.73,67.05,92,0,4.7
Innisfail,AU,-17.53,146.03,73.56,58,0,5.03
Bakong,CM,5.09,10.49,69.1,87,100,3.15
Nioro,GM,13.35,-15.75,85.44,12,0,8.52
Hong Kong,HK,22.29,114.16,66.11,93,20,3.36
Ponta do Sol,PT,32.67,-17.1,60.35,72,20,5.82
Sirte,LY,31.21,16.59,57.51,73,59,5.1
Saint George,US,37.1,-113.58,52.41,22,1,6.93
Puerto Escondido,MX,15.85,-97.07,87.8,45,40,6.93
Lebu,CL,-37.62,-73.65,65.35,47,0,11.39
Arica,CL,-18.48,-70.3,75.2,60,75,9.17
Thompson,CA,55.74,-97.86,-14.8,62,90,14.99
Hermanus,ZA,-34.42,19.23,68.56,87,0,8.01
Saint-Philippe,RE,-21.36,55.77,75.58,78,99,6.93
Shenjiamen,CN,29.96,122.3,53.49,90,17,6.6
Kumul,CN,42.8,93.45,16.57,52,0,1.68
Auki,SB,-8.77,160.7,83.77,77,92,16.24
Richards Bay,ZA,-28.78,32.04,75.47,74,0,7.45
Port Elizabeth,ZA,-33.92,25.57,68.0,82,0,12.75
Deputatsky,RU,69.3,139.9,-13.97,96,100,4.7
Atuona,PF,-9.8,-139.03,81.45,77,0,16.89
Conde,BR,-7.26,-34.91,82.4,78,63,11.41
Klaksvik,FO,62.23,-6.59,32.0,61,42,10.29
Severo-Kuril'sk,RU,50.68,156.12,19.51,92,87,10.02
Geraldton,AU,-28.77,114.6,71.6,88,40,10.8
Tunoshna,RU,57.55,40.13,26.6,79,90,8.95
Treinta y Tres,UY,-33.23,-54.38,76.48,49,98,17.0
Storforshei,NO,66.4,14.52,32.0,93,75,2.24
Butaritari,KI,3.07,172.79,81.86,84,100,17.92
Torbay,CA,47.67,-52.73,28.58,92,90,26.4
Saskylakh,RU,71.92,114.08,-17.59,86,100,8.3
Namwala,ZM,-15.75,26.44,65.41,96,25,5.32
Arraial do Cabo,BR,-22.97,-42.03,71.6,94,90,11.41
Portland,US,45.52,-122.68,48.47,81,90,3.36
Kaeo,NZ,-35.1,173.78,74.61,63,34,4.0
Agrij,RO,47.07,23.13,35.1,59,74,8.05
Gorodishche,RU,48.8,44.47,32.0,97,90,20.13
Iqaluit,CA,63.75,-68.51,-23.4,61,20,13.87
Yasnogorsk,RU,54.48,37.7,23.67,95,100,9.62
Codrington,AU,-38.27,141.97,64.98,92,69,20.4
Kabare,CD,-2.47,28.82,61.86,92,75,0.25
Bubaque,GW,11.28,-15.83,79.93,70,0,15.9
Srednekolymsk,RU,67.45,153.68,-26.18,70,88,6.22
Barcelos,PT,41.54,-8.62,54.0,100,75,4.7
Bambous Virieux,MU,-20.34,57.76,80.31,83,40,12.75
Santa Cruz de la Sierra,BO,-17.8,-63.17,88.74,52,40,6.93
Chui,UY,-33.7,-53.46,73.81,61,0,13.73
Lima,PE,-12.04,-77.03,77.0,69,41,16.11
Anse-Bertrand,GP,16.47,-61.51,80.6,65,75,12.75
Tilichiki,RU,60.47,166.1,-2.78,95,100,8.79
Ogulin,HR,45.27,15.23,41.38,70,0,3.36
Khatanga,RU,71.97,102.5,-3.37,96,89,9.86
Cabo San Lucas,MX,22.89,-109.91,70.11,52,5,4.7
Ballina,AU,-28.87,153.57,71.13,94,90,8.05
Longyearbyen,SJ,78.22,15.64,5.0,60,20,12.75
Tiksi,RU,71.69,128.87,-27.63,91,36,5.37
Makat,KZ,47.65,53.35,22.35,34,0,7.34
Glenwood Springs,US,39.55,-107.32,26.24,85,90,5.82
Khandyga,RU,62.67,135.6,-19.62,98,100,2.8
Qaanaaq,GL,77.48,-69.36,-16.22,57,7,4.25
Aranos,NA,-24.13,19.12,75.79,45,16,6.35
Caudry,FR,50.12,3.41,39.96,86,19,9.17
East London,ZA,-33.02,27.91,74.59,75,49,21.09
Walvis Bay,NA,-22.96,14.51,66.09,77,0,2.24
Narsaq,GL,60.92,-46.05,5.0,34,0,5.82
Cape Town,ZA,-33.93,18.42,65.32,88,3,6.93
Airai,TL,-8.93,125.41,67.89,88,97,3.42
Pangnirtung,CA,66.15,-65.71,-22.0,74,40,4.7
Ust'-Kulom,RU,61.69,53.69,14.65,96,100,5.93
Neiafu,TO,-18.65,-173.98,75.2,100,90,6.93
Namatanai,PG,-3.67,152.43,83.16,77,87,17.63
Dikson,RU,73.51,80.55,19.04,92,100,21.77
Salalah,OM,17.02,54.09,71.6,37,31,27.51
Matara,LK,5.95,80.54,75.04,83,0,4.59
Moengo,SR,5.62,-54.4,79.47,74,71,5.53
Bredasdorp,ZA,-34.53,20.04,69.42,83,1,12.75
Progreso,MX,21.28,-89.67,95.77,37,40,28.86
Talnakh,RU,69.49,88.4,8.6,84,75,29.08
Ambon,ID,-3.7,128.18,77.0,88,20,1.12
Fortuna,US,40.6,-124.16,53.2,81,20,14.99
Jumla,NP,29.27,82.18,33.6,35,0,6.15
Leningradskiy,RU,69.38,178.42,-17.03,96,0,10.78
Dicabisagan,PH,17.08,122.42,71.22,86,11,5.37
Bengkulu,ID,-3.8,102.27,74.52,93,64,3.18
Mount Pleasant,US,32.79,-79.86,66.78,93,100,6.93
Paka,MY,4.64,103.44,80.38,88,36,4.7
Vorukh,TJ,39.85,70.58,32.54,87,100,5.75
Cocorit,MX,27.58,-109.97,69.8,30,5,6.93
Vao,NC,-22.67,167.48,80.8,90,78,16.67
Hasaki,JP,35.73,140.83,46.96,93,75,4.7
Nikolskoye,RU,59.7,30.79,33.93,95,90,6.71
Kiryat Gat,IL,31.61,34.76,51.51,66,0,5.82
Pajacuaran,MX,20.12,-102.57,74.08,29,36,13.47
Tual,ID,-5.67,132.75,82.8,77,72,14.36
Trairi,BR,-3.28,-39.27,77.11,85,14,3.38
Lufilufi,WS,-13.87,-171.6,84.09,83,75,8.05
Port Lincoln,AU,-34.73,135.87,66.33,88,88,11.07
Biak,ID,-0.91,122.88,81.03,75,100,8.75
Concarneau,FR,47.88,-3.92,49.37,76,90,12.75
Paide,EE,58.89,25.56,35.01,99,92,1.99
Clyde River,CA,70.47,-68.59,-13.0,75,40,16.11
Yellowknife,CA,62.46,-114.35,-23.46,67,40,8.05
Uppsala,SE,60.0,17.75,32.83,82,100,4.7
Shakawe,BW,-18.37,21.85,73.6,62,21,7.61
Chabahar,IR,25.29,60.64,65.82,66,36,9.26
Cherdyn,RU,60.4,56.48,19.74,94,100,6.11
Nome,US,64.5,-165.41,-4.16,63,1,2.13
Gravelbourg,CA,49.88,-106.55,-9.9,80,0,1.86
La Tuque,CA,47.43,-72.78,28.06,80,100,10.42
Carnarvon,AU,-24.87,113.63,73.4,83,40,12.75
Anadyr,RU,64.75,177.48,12.2,85,75,11.18
Tuktoyaktuk,CA,69.45,-133.04,-25.6,67,5,8.05
Fort Nelson,CA,58.81,-122.7,5.0,71,75,3.78
Arrondissement du Havre,FR,49.58,0.33,42.73,81,91,11.41
Lompoc,US,34.64,-120.46,65.32,42,1,10.29
Kununurra,AU,-15.77,128.73,78.8,94,27,3.78
Ossora,RU,59.24,163.07,6.4,93,81,8.72
Lagoa,PT,39.05,-27.98,61.38,82,72,7.72
Russell,US,32.35,-85.2,77.18,64,75,9.17
Muroto,JP,33.28,134.15,51.8,93,20,5.82
Poum,NC,-20.23,164.02,81.84,85,65,13.85
Tasiilaq,GL,65.61,-37.64,16.68,82,100,39.68
Santa Maria,BR,-29.68,-53.81,84.2,51,20,14.99
Flinders,AU,-34.58,150.86,72.07,100,75,11.41
Solapur,IN,17.68,75.92,71.47,55,0,7.07
Chokurdakh,RU,70.63,147.92,-24.61,81,100,2.91
Olinda,BR,-8.01,-34.86,84.2,74,20,8.05
Lorengau,PG,-2.02,147.27,83.55,76,89,15.28
Redmond,US,47.67,-122.12,47.07,81,90,4.7
Coquimbo,CL,-29.95,-71.34,74.64,68,98,13.87
Frontignan,FR,43.45,3.75,42.3,81,100,6.93
Dakar,SN,14.69,-17.44,77.07,57,0,13.87
Buchanan,LR,5.88,-10.05,78.28,81,96,4.76
Upernavik,GL,72.79,-56.15,-12.14,98,100,1.28
Moyale,KE,3.52,39.06,79.16,56,69,5.82
Bow Island,CA,49.87,-111.37,7.7,71,90,2.24
Manokwari,ID,-0.87,134.08,73.18,77,100,3.27
Aleppo Governorate,SY,36.25,37.5,35.91,69,100,19.82
Mayo,US,38.89,-76.51,44.85,65,90,3.76
Churapcha,RU,62.0,132.43,-25.89,99,70,6.31
Praia,CV,14.92,-23.51,77.0,22,0,17.22
Guerrero Negro,MX,27.98,-114.06,66.79,29,0,6.53
Ruteng,ID,-8.61,120.47,67.1,89,100,3.38
Mattru,SL,7.62,-11.83,79.65,82,80,5.75
Turan,VN,16.07,108.22,73.67,94,75,2.24
Yerbogachen,RU,61.28,108.01,-14.04,93,0,8.97
Alofi,NU,-19.06,-169.92,71.6,100,90,14.79
Cap Malheureux,MU,-19.98,57.61,80.26,83,40,12.75
Bluff,NZ,-46.6,168.33,57.0,91,89,8.01
Ayan,RU,56.45,138.17,3.43,82,100,5.57
Hokitika,NZ,-42.72,170.97,59.0,82,100,3.85
Thaba-Tseka,LS,-29.52,28.61,48.63,77,0,3.2
Tuatapere,NZ,-46.13,167.68,57.0,91,86,8.01
Akdepe,TM,42.06,59.38,19.65,92,0,4.7
Faanui,PF,-16.48,-151.75,82.06,78,21,14.38
Champerico,GT,14.3,-91.92,87.8,66,40,11.41
Mulanje,MW,-16.03,35.5,66.99,96,100,1.63
Bosaso,SO,11.28,49.18,77.11,74,0,19.08
Hammerfest,NO,70.66,23.68,35.33,64,75,20.8
Saint-Francois,FR,46.42,3.91,35.47,86,100,3.44
Cayenne,GF,4.93,-52.33,80.6,74,75,5.82
Jinxiang,CN,22.86,115.7,66.99,93,0,0.87
Ancud,CL,-41.87,-73.82,62.6,51,20,11.41
Vardo,NO,70.37,31.11,23.18,79,40,27.51
Jimani,DO,18.49,-71.85,89.6,46,0,19.46
Egersund,NO,58.45,6.0,34.59,70,90,17.22
Isangel,VU,-19.55,169.27,84.2,89,20,1.05
Bata,GQ,1.86,9.77,74.8,91,18,3.11
Vikhorevka,RU,56.12,101.16,-9.22,83,40,1.72
Gurlan,UZ,41.84,60.39,21.83,85,90,4.7
Coyhaique,CL,-45.58,-72.07,59.25,44,40,8.05
Kirensk,RU,57.79,108.11,-12.28,98,0,2.71
Yulara,AU,-25.24,130.99,84.2,26,0,8.05
Mogadishu,SO,2.04,45.34,80.85,77,0,27.47
Goderich,CA,43.75,-81.72,31.5,80,100,12.53
Pevek,RU,69.7,170.31,-4.81,71,0,2.33
George Town,MY,5.41,100.34,77.85,94,40,5.82
Lavrentiya,RU,65.58,-171.0,-5.49,89,97,3.33
Helong,CN,42.54,129.0,24.1,82,4,5.57
Camacha,PT,33.08,-16.33,62.35,87,20,2.24
Opuwo,NA,-18.06,13.84,69.69,45,50,6.4
Baltasi,RU,56.35,50.21,15.21,91,100,9.01
Moose Factory,CA,51.26,-80.61,-13.0,62,20,12.75
Kodiak,US,57.79,-152.41,35.6,74,90,23.04
Turukhansk,RU,65.82,87.98,5.83,94,100,11.63
Saint-Pierre,RE,-21.34,55.48,75.65,78,81,6.93
Marsh Harbour,BS,26.54,-77.06,75.69,81,35,15.41
Nishihara,JP,26.18,127.76,68.97,88,40,10.29
Karabash,RU,55.48,60.22,18.82,82,100,3.13
Tabas,IR,33.6,56.92,33.8,26,0,2.24
Ilulissat,GL,69.22,-51.1,1.4,41,54,2.24
Svetlogorsk,BY,52.63,29.73,32.7,89,100,10.8
Nador,MA,35.17,-2.93,54.14,76,68,3.36
Ketchikan,US,55.34,-131.65,38.26,93,90,34.45
Shiyan,CN,32.65,110.78,48.07,95,80,1.25
Kisangani,CD,0.52,25.2,76.28,52,58,0.92
Los Llanos de Aridane,ES,28.66,-17.92,66.58,82,20,10.29
Caravelas,BR,-17.71,-39.25,81.07,80,46,11.5
Antsirabe,MG,-19.85,47.03,60.1,96,49,2.13
Victoria Point,AU,-27.58,153.3,72.48,94,75,5.82
Chapais,CA,49.78,-74.85,23.0,85,90,12.75
Valenca,BR,-13.37,-39.07,76.6,72,28,3.49
Nayoro,JP,44.35,142.46,33.26,98,87,8.97
Yangi Marg`ilon,UZ,40.43,71.72,39.2,80,75,29.97
Viedma,AR,-40.81,-63.0,91.58,30,67,24.2
Baragua,CU,21.7,-78.63,89.38,39,0,12.08
Contamana,PE,-7.33,-75.02,95.54,33,4,6.11
Saint-Augustin,CA,51.23,-58.65,20.17,81,3,10.76
Gbadolite,CD,4.28,21.02,72.27,33,0,1.16
Kavieng,PG,-2.57,150.8,83.64,78,72,14.47
Erzin,TR,36.96,36.2,39.25,75,90,10.29
Mahebourg,MU,-20.41,57.7,80.33,83,40,12.75
Laguna,US,38.42,-121.42,64.89,34,1,5.82
Katsuura,JP,35.13,140.3,59.59,87,75,21.92
The Valley,AI,18.22,-63.06,77.68,78,20,10.29
Romanovo,RU,52.62,81.23,0.97,86,0,8.57
Pitimbu,BR,-7.47,-34.81,82.4,78,63,11.41
Acapulco de Juarez,MX,16.86,-99.89,87.8,62,5,6.93
Umm Kaddadah,SD,13.6,26.69,59.2,15,0,14.43
Alegre,BR,-20.76,-41.53,67.89,99,100,3.0
Calvinia,ZA,-31.47,19.78,76.33,34,0,6.13
San Patricio,MX,19.22,-104.7,84.2,74,75,11.41
Mizan Teferi,ET,6.98,35.58,70.05,47,62,3.91
Samarai,PG,-10.62,150.67,78.24,89,91,5.75
Mangulile,HN,15.07,-86.8,77.74,38,0,6.85
Okhotsk,RU,59.38,143.3,-7.4,82,100,8.3
Bay Roberts,CA,47.6,-53.26,28.6,92,90,26.4
Gizo,SB,-8.1,156.84,79.07,86,100,6.64
Fougamou,GA,-1.22,10.58,75.56,93,100,3.96
Jaguaquara,BR,-13.53,-39.97,73.17,82,94,6.29
Lethem,GY,3.38,-59.8,94.57,35,22,12.41
San Andres,CO,12.58,-81.7,86.0,66,40,12.75
Ostrovnoy,RU,68.05,39.51,31.55,85,100,24.02
Mount Gambier,AU,-37.83,140.77,66.2,88,90,11.41
Mitzic,GA,0.78,11.55,73.38,87,60,3.69
Nsoko,SZ,-27.03,31.95,67.12,94,76,2.82
Batemans Bay,AU,-35.72,150.18,68.54,97,100,3.0
Makakilo City,US,21.35,-158.09,75.6,60,40,2.24
Kristiansund,NO,63.11,7.73,35.6,74,75,40.26
San Antonio,US,29.42,-98.49,63.25,52,1,9.17
Avanuorri,NO,71.0,24.66,31.98,74,40,21.92
Becej,RS,45.62,20.03,43.0,33,99,4.47
Constitucion,CL,-35.33,-72.42,63.45,56,22,19.17
Adrar,MR,20.5,-10.07,76.39,28,0,8.55
Te Anau,NZ,-45.42,167.72,56.59,88,24,0.47
Halifax,CA,44.65,-63.57,31.24,73,75,12.75
Sistranda,NO,63.73,8.83,35.33,80,75,27.51
Sorland,NO,67.67,12.69,32.0,64,75,13.87
Kenitra,MA,34.26,-6.58,53.11,87,40,2.24
Abu Dhabi,AE,24.47,54.37,59.85,67,20,12.75
Pochutla,MX,15.74,-96.47,90.81,38,75,17.22
Kahului,US,20.89,-156.47,74.5,73,40,6.93
Paita,PE,-5.09,-81.11,62.6,100,0,14.99
Omsk,RU,55.0,73.4,3.2,54,0,11.18
Cidreira,BR,-30.18,-50.21,74.12,75,0,24.14
Kilrush,IE,52.64,-9.48,43.93,87,75,25.28
Carinhanha,BR,-14.3,-43.77,77.74,87,100,4.14
Buhe,CN,30.29,112.23,50.0,95,0,3.33
Zuwarah,LY,32.93,12.08,60.69,65,66,6.73
North Bend,US,43.41,-124.22,51.04,76,1,10.29
Kropotkin,RU,45.44,40.58,34.0,84,49,14.63
Tuy Hoa,VN,13.08,109.3,75.7,87,62,2.19
Kutoarjo,ID,-7.72,109.91,69.85,89,80,3.74
Tura,IN,25.52,90.22,56.5,53,0,1.39
Mehran,IR,33.12,46.16,30.2,50,90,4.7
Norman Wells,CA,65.28,-126.83,-14.8,68,75,9.17
Port Hedland,AU,-20.32,118.57,80.56,76,0,9.75
Bucerias,MX,20.75,-105.33,77.54,69,90,10.29
Monte Santo,BR,-10.44,-39.33,80.55,53,19,4.99
Kavaratti,IN,10.57,72.64,81.59,69,0,6.58
Newport,GB,51.59,-3.0,42.33,93,40,9.17
Gwanda,ZW,-20.93,29.0,63.21,95,100,10.42
Belmonte,BR,-15.86,-38.88,80.6,74,40,9.17
Esperance,AU,-33.87,121.9,62.6,93,90,3.36
Nabire,ID,-3.37,135.48,71.64,97,96,2.04
Mega,ET,4.05,38.3,73.15,60,96,7.45
Aswan,EG,24.09,32.91,58.68,31,0,9.78
Sao Filipe,CV,14.9,-24.5,71.6,62,0,13.51
Broome,US,42.25,-75.83,36.37,59,1,5.79
Koygorodok,RU,60.45,51.0,16.57,94,100,6.96
Soure,BR,-0.72,-48.52,78.1,90,100,8.05
Kautokeino,NO,69.01,23.04,7.27,91,25,6.26
Mae Sot,TH,16.72,98.57,64.42,65,100,2.08
Port Said,EG,31.26,32.28,62.01,69,0,4.14
Aromashevo,RU,56.86,68.64,3.72,95,80,9.17
Bonthe,SL,7.53,-12.51,80.85,84,77,9.71
Durazno,UY,-33.41,-56.5,82.0,39,13,13.35
Caldas Novas,BR,-17.74,-48.62,77.22,84,100,3.91
Binga,ZW,-17.62,27.34,76.39,71,100,6.62
Mossamedes,AO,-15.2,12.15,74.34,86,15,16.53
Thinadhoo,MV,0.53,72.93,82.67,79,100,10.63
Namtsy,RU,62.72,129.67,-23.8,74,100,6.71
Derzhavinsk,KZ,51.1,66.32,5.59,84,97,10.36
Dawlatabad,AF,36.41,64.91,39.61,79,89,6.6
Yanliang,CN,34.66,109.23,38.73,92,0,3.4
Atar,MR,20.52,-13.05,77.02,21,0,11.45
Kiama,AU,-34.68,150.87,71.74,100,75,11.41
Beloha,MG,-25.17,45.05,74.21,81,0,12.66
Sibolga,ID,1.74,98.78,72.52,95,100,2.15
Mareeba,AU,-17.0,145.43,82.58,62,0,1.12
Arman,RU,59.7,150.17,4.41,66,100,3.58
Khandagayty,RU,50.73,92.05,-2.06,50,0,1.88
Pahrump,US,36.21,-115.98,60.53,17,1,7.45
Singkawang,ID,0.9,109.0,75.92,93,92,6.85
Urumqi,CN,43.8,87.6,14.0,78,0,2.24
Kurumkan,RU,54.3,110.3,-12.89,70,0,2.01
Presidencia Roque Saenz Pena,AR,-26.79,-60.44,95.18,24,0,4.83
Zilair,RU,52.23,57.44,10.71,96,100,0.6
Matagami,CA,49.75,-77.63,-0.4,84,90,14.99
Oranjestad,AW,12.52,-70.03,82.4,69,20,25.28
Orcopampa,PE,-15.27,-72.34,39.38,96,100,6.64
Mana,GF,5.66,-53.78,79.05,73,70,5.75
Waipawa,NZ,-41.41,175.52,65.98,68,100,23.04
Meulaboh,ID,4.14,96.13,81.18,82,100,5.26
Maraa,BR,-1.83,-65.37,83.14,86,88,2.48
Prieska,ZA,-29.66,22.75,75.99,46,64,5.19
Riyadh,SA,24.69,46.72,41.0,32,0,2.24
Dingle,PH,11.0,122.67,71.67,93,7,8.25
Clarence Town,AU,-32.58,151.78,73.36,100,75,6.93
Touros,BR,-5.2,-35.46,84.2,70,75,14.99
Matay,EG,28.42,30.78,49.69,69,0,0.98
Tautira,PF,-17.73,-149.15,86.0,70,40,6.93
Dutlwe,BW,-23.98,23.9,70.12,71,45,14.47
Chifeng,CN,42.27,118.96,30.36,66,31,7.43
Santa Isabel do Rio Negro,BR,-0.41,-65.02,91.38,51,97,2.24
Segou,ML,13.43,-6.22,80.28,10,87,10.8
Urdoma,RU,61.75,48.54,23.97,93,100,8.23
Batsfjord,NO,70.63,29.72,23.25,100,100,25.28
Masty,BY,53.41,24.54,33.3,96,70,15.41
Ayagoz,KZ,47.97,80.44,5.16,64,66,8.79
Luderitz,NA,-26.65,15.16,66.2,82,1,4.7
Port Hardy,CA,50.7,-127.42,44.6,75,40,10.29
Chardara,KZ,41.25,67.97,38.26,66,100,3.36
Olafsvik,IS,64.89,-23.71,24.85,63,92,14.9
'Ewa Beach,US,21.32,-158.01,75.61,54,40,10.29
Riviere-au-Renard,CA,49.0,-64.4,32.0,81,20,2.24
Marabu,MY,4.41,114.01,77.0,94,75,11.88
Loreto,MX,22.27,-101.97,68.63,33,100,28.41
Guarapuava,BR,-25.4,-51.46,73.53,52,54,2.73
Balkhash,KZ,46.84,74.98,12.69,73,95,11.88
Rabaul,PG,-4.2,152.17,83.25,78,100,17.78
Rawson,AR,-43.3,-65.1,64.6,62,35,7.2
Semirara,PH,12.07,121.4,77.92,82,15,22.26
Kendari,ID,-3.94,122.5,73.89,95,88,1.48
Taft,IR,31.75,54.21,33.8,26,0,4.7
Cockburn Town,TC,21.46,-71.14,80.6,65,40,13.87
Dongsheng,CN,39.82,109.98,31.26,37,77,6.71
Kingman,US,35.19,-114.05,60.58,15,1,5.82
Ambilobe,MG,-13.2,49.05,75.83,86,100,1.72
Cajazeiras,BR,-6.89,-38.56,79.7,60,0,2.15
Quelimane,MZ,-17.88,36.89,77.0,94,75,2.59
Port Blair,IN,11.67,92.75,73.4,88,12,2.24
Camana,PE,-16.62,-72.71,69.46,75,92,8.46
Sedhiou,SN,12.71,-15.56,82.4,45,0,6.89
Ouadda,CF,8.08,22.4,68.72,20,56,5.82
Palmer,US,42.16,-72.33,39.15,41,90,10.29
Bathsheba,BB,13.22,-59.52,78.8,78,40,25.28
Antofagasta,CL,-23.65,-70.4,71.82,68,40,16.11
Beringovskiy,RU,63.05,179.32,6.66,91,100,6.55
Botwood,CA,49.15,-55.35,23.85,85,90,25.28
Evensk,RU,61.95,159.23,3.65,76,94,1.68
Lucapa,AO,-8.42,20.74,70.92,79,71,3.0
Haines Junction,CA,60.75,-137.51,17.44,94,100,7.56
Nanortalik,GL,60.14,-45.24,16.29,48,0,12.97
San Vicente,AR,-26.62,-54.13,75.99,99,62,1.66
Mayor Pablo Lagerenza,PY,-19.93,-60.77,92.07,43,100,2.89
Deltona,US,28.9,-81.26,82.87,65,75,10.29
Souillac,MU,-20.52,57.52,80.33,83,40,12.75
Ciudad Lazaro Cardenas,MX,17.96,-102.2,85.19,45,0,8.97
Marawi,PH,8.0,124.29,73.0,89,99,3.0
Kondrovo,RU,54.81,35.93,28.4,86,90,4.47
Shumikha,RU,55.23,63.3,14.47,95,100,7.0
Hoshcha,UA,50.6,26.67,33.19,78,100,13.56
Hualmay,PE,-11.1,-77.61,77.31,62,79,10.71
Bosobolo,CD,4.18,19.9,76.24,29,70,2.91
Dilla,ET,6.41,38.31,55.65,91,79,2.98
Camopi,GF,3.17,-52.32,80.24,70,77,4.09
Sitka,US,57.05,-135.33,38.53,80,90,23.04
Deneysville,ZA,-26.89,28.1,62.4,73,49,5.5
Lata,PT,40.16,-8.33,53.65,91,88,0.76
Waddan,LY,29.16,16.14,58.89,21,23,1.12
Korla,CN,41.76,86.15,33.01,81,0,2.75
Bulgan,MN,48.81,103.53,-1.89,78,94,4.61
Hervey Bay,AU,-25.3,152.85,77.49,83,88,10.29
Sinop,TR,41.77,34.87,43.95,76,71,14.81
Jidong,CN,45.22,131.08,23.34,97,19,1.41
Tibacuy,CO,4.35,-72.46,99.23,25,34,10.29
Yining,CN,29.04,114.56,51.62,97,100,1.12
Varkaus,FI,62.33,27.87,33.01,100,100,4.0
Daru,PG,-9.08,143.21,75.2,90,100,8.23
Emba,KZ,48.83,58.14,7.39,90,99,1.86
Tateyama,JP,34.98,139.87,59.4,82,75,14.99
Boyolangu,ID,-8.12,111.89,73.53,92,99,4.59
Surami,GE,42.02,43.56,26.4,91,100,5.68
Rocha,UY,-34.48,-54.33,75.25,52,73,14.92
Nha Trang,VN,12.25,109.18,75.2,94,20,3.36
Ixtapa,MX,20.7,-105.2,77.56,69,90,10.29
Emerald,AU,-23.53,148.17,77.5,83,0,3.36
Bartica,GY,6.4,-58.62,82.4,69,75,13.87
Inzer,RU,54.22,57.56,19.02,96,100,2.44
Logstor,DK,56.96,9.26,37.78,93,25,8.01
Nacozari,MX,25.34,-108.26,72.81,39,0,8.01
Folldal,NO,62.13,10.0,10.63,74,100,5.59
Arrondissement de Marseille,FR,43.33,5.5,42.89,65,100,9.17
